,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,7.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0
1,7.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0
2,3.0,3.0,0.0,7.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
3,3.0,3.0,7.0,0.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
4,5.0,5.0,4.0,4.0,0.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0
5,5.0,5.0,4.0,4.0,8.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0
6,5.0,5.0,5.0,5.0,5.0,5.0,0.0,8.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,8.0,8.0,5.0
7,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,8.0,8.0,5.0
8,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,0.0,7.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
9,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,0.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
10,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,0.0,9.0,5.0,5.0,8.0,8.0,6.0,6.0,4.0
11,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,9.0,0.0,5.0,5.0,8.0,8.0,6.0,6.0,4.0
12,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,0.0,7.0,5.0,5.0,4.0,4.0,6.0
13,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,0.0,5.0,5.0,4.0,4.0,6.0
14,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,8.0,8.0,5.0,5.0,0.0,9.0,7.0,7.0,5.0
15,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,8.0,8.0,5.0,5.0,9.0,0.0,7.0,7.0,5.0
16,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,0.0,8.0,5.0
17,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,8.0,0.0,5.0
18,5.0,5.0,4.0,4.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,0.0
